('s9', 'C Programming') , 11
('s1', 'Research') , 12
('s2', 'Web Scraping') , 16
('s3', 'Internet Research') , 1
('s10', 'Excel') , 11
('s2', 'eBay') , 1
('s3', 'Software Architecture') , 66
('s5', 'Amazon Web Services') , 7
('s6', 'HTML') , 47
('s7', 'Javascript') , 96
('s8', 'XML') , 12
('s9', 'AJAX') , 22
('s1', 'VoIP') , 1
('s10', 'Technical Support') , 2
('s3', 'Asterisk PBX') , 1
('s4', 'Linux') , 13
('s5', 'System Admin') , 4
('s6', 'Cisco') , 1
('s7', 'Web Security') , 7
('s8', 'Wireless') , 2
('s9', 'Computer Security') , 3
('s10', 'Android') , 15
('s8', 'MySQL') , 37
('s9', 'Javascript') , 60
('s1', 'Java') , 47
('s2', 'C++ Programming') , 20
('s4', 'PHP') , 71
('s5', 'UML Design') , 2
('s6', 'MySQL') , 55
('s8', 'Mathematics') , 4
('s1', 'Illustration') , 30
('s10', 'Painting') , 1
('s2', 'Caricature & Cartoons') , 9
('s3', 'Book Artist') , 3
('s5', 'Drawing') , 1
('s6', 'Concept Design') , 4
('s7', 'Animation') , 6
('s8', 'Arts & Crafts') , 2
('s9', 'Creative Design') , 5
('s2', '3D Design') , 4
('s10', 'Google SketchUp') , 7
('s2', 'AutoCAD') , 11
('s4', '3D Rendering') , 17
('s5', 'Solidworks') , 5
('s8', 'Building Architecture') , 2
('s9', 'Mechanical Engineering') , 4
('s1', 'Drupal') , 2
('s1', 'Editing') , 4
('s2', 'Financial Analysis') , 1
('s1', 'Arduino') , 3
('s2', 'Microcontroller') , 6
('s3', 'Electronics') , 5
('s4', 'Embedded Software') , 3
('s5', 'Engineering') , 8
('s6', 'Electrical Engineering') , 6
('s2', 'Joomla') , 8
('s4', 'Website Management') , 7
('s7', 'MySQL') , 52
('s10', 'Icon Design') , 7
('s7', 'Banner Design') , 33
('s8', 'Photo Editing') , 16
('s9', 'Corporate Identity') , 9
('s1', 'SQL') , 10
('s10', 'ASP') , 5
('s2', 'Database Administration') , 2
('s5', 'Database Programming') , 3
('s7', 'Database Development') , 3
('s8', 'Oracle') , 2
('s9', 'Microsoft Access') , 4
('s1', 'HTML') , 49
('s10', 'User Interface / IA') , 8
('s3', 'CSS') , 44
('s5', 'PSD to HTML') , 18
('s6', 'PHP') , 49
('s1', 'Audio Services') , 8
('s2', 'Audio Production') , 5
('s3', 'After Effects') , 21
('s4', 'Video Services') , 8
('s5', 'Sound Design') , 4
('s6', 'Video Editing') , 14
('s1', 'Translation') , 97
('s10', 'Audio Services') , 1
('s2', 'Polish') , 1
('s3', 'English (US)') , 24
('s4', 'Excel') , 35
('s5', 'English (UK)') , 12
('s6', 'Data Entry') , 32
('s7', 'PDF') , 11
('s8', 'Website Design') , 39
('s10', 'Flyer Design') , 16
('s3', 'Business Cards') , 9
('s4', 'Brochure Design') , 23
('s5', 'Corporate Identity') , 15
('s6', 'Photoshop') , 44
('s7', 'Illustrator') , 36
('s8', 'Stationery Design') , 7
('s9', 'User Interface / IA') , 9
('s1', 'Data Entry') , 143
('s10', 'PDF') , 3
('s3', 'Data Processing') , 42
('s4', 'Web Search') , 29
('s5', 'Web Scraping') , 32
('s6', 'Leads') , 12
('s7', 'Data Mining') , 7
('s8', 'Virtual Assistant') , 12
('s9', 'Copy Typing') , 9
('s4', 'Animation') , 23
('s5', 'HTML5') , 36
('s6', '3D Animation') , 15
('s7', 'Label Design') , 1
('s10', 'Creative Design') , 9
('s6', 'Banner Design') , 42
('s7', 'Icon Design') , 11
('s8', 'Photoshop Design') , 41
('s9', 'Photo Editing') , 20
('s10', 'Illustrator') , 15
('s2', 'Game Design') , 2
('s4', 'Logo Design') , 48
('s5', 'Illustration') , 49
('s7', 'Caricature & Cartoons') , 8
('s8', 'iPhone') , 11
('s9', 'Android') , 10
('s10', 'Illustration') , 16
('s2', 'Banner Design') , 43
('s3', 'Flyer Design') , 7
('s5', 'Logo Design') , 37
('s8', 'Brochure Design') , 17
('s9', 'Business Cards') , 14
('s2', 'Mathematics') , 9
('s3', 'R Programming Language') , 2
('s4', 'Statistical Analysis') , 3
('s1', 'Article Writing') , 86
('s10', 'Product Descriptions') , 5
('s2', 'Content Writing') , 23
('s3', 'Blog') , 12
('s4', 'Ghostwriting') , 33
('s5', 'Article Rewriting') , 29
('s6', 'Copywriting') , 28
('s7', 'Technical Writing') , 21
('s8', 'SEO') , 18
('s9', 'Research Writing') , 13
